date,psr,m2,ccpi,dspic,ir,ffer,sp500_close,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0,sp500_ema_5,sp500_ema_22,sp500_ema_252
1981-01-01,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-02,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-03,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-04,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-05,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-06,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-07,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-08,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-09,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-10,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-11,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-12,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-13,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-14,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-15,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-16,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-17,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-18,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-19,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-20,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-21,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-22,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-23,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-24,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-25,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-26,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-27,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-28,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-29,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-30,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-01-31,10.9,1612.9,85.4,4980.4,12.56857143,19.08451613,,,,,,,
1981-02-01,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-02,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-03,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-04,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-05,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-06,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-07,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-08,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-09,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
1981-02-10,10.8,1608.125,85.9,4965.0,13.19444444,15.93428571,,,,,,,
